Cik,Ticker,MultipleTickers,CompanyName
"1562918",,,"American Express Receivables Financing Corp VIII LLC"
"1545236","AHII","AHII","American Heritage International Inc."
"1562401","AMH","AMH","American Homes 4 Rent"
"1117057","ALN","ALN","American Lorain CORP"
"1513965","AMID","AMID","American Midstream Partners, LP"
"1344596","ARII","ARII","American Railcar Industries, Inc."
"1501745",,,"American Realty Capital Daily Net Asset Value Trust, Inc."
"1526113","GNL","GNL","Global Net Lease, Inc."
"1561032",,,"Healthcare Trust, Inc."
"1507385","ARCP","ARCP,VER","VEREIT, Inc."
"1568162",,,"American Realty Capital Trust V, Inc."
"1548981","ARPI","ARPI","American Residential Properties, Inc."
"1323891",,,"American Tire Distributors Holdings, Inc."
"1410636","AWK","AWK","American Water Works Company, Inc."
"1529197",,,"Americredit Automobile Receivables Trust 2011-4"
"1533218",,,"Americredit Automobile Receivables Trust 2011-5"
"1540779",,,"Americredit Automobile Receivables Trust 2012-1"
"1546680",,,"Americredit Automobile Receivables Trust 2012-2"
"1578821",,,"Americredit Automobile Receivables Trust 2013-3"
"351569","ABCB","ABCB","Ameris Bancorp"
"1411906","AMPE","AMPE","Ampio Pharmaceuticals, Inc."
"1518461",,,"AmpliTech Group, Inc."
"1365555","AFSI","AFSI,AFSS","Amtrust Financial Services, Inc."
"1411158","ANAC","ANAC","Anacor Pharmaceuticals, Inc."
"1575319",,,"Ancestry.com LLC"
"1347452","WEST","WEST","Andalay Solar, Inc."
"1469606","AMCF","AMCF","Andatee China Marine Fuel Services Corp"
"1491778","ANGI","ANGI","Angie's List, Inc."
"1316175","ANTH","ANTH","Anthera Pharmaceuticals Inc"
"315293","AON","AON","Aon plc"
"1467760","ARI","ARI","Apollo Commercial Real Estate Finance, Inc."
"1411494","APO","APO","Apollo Global Management LLC"
"1515980","AMTG","AMTG","Apollo Residential Mortgage, Inc."
"1587650",,,"Appalachian Consumer Rate Relief Funding LLC"
"1418121","APLE","APLE","Apple Hospitality REIT, Inc."
"1498864",,,"Apple REIT Ten, Inc."
"8328","AMNL","AMNL","Applied Minerals, Inc."
"891417","NNPP","NNPP","PEN INC."
"1405073","AREX","AREX","Approach Resources Inc"
"1583744","ARCX","ARCX","Arc Logistics Partners LP"
"1529377","ACRE","ACRE","Ares Commercial Real Estate Corp"
"1091748","AGII","AGII,AGIIL","Argo Group International Holdings, Ltd."
"1424640",,,"Arista Power, Inc."
"1209028","AI","AI,AIW","Arlington Asset Investment Corp."
"1569187","AHH","AHH","Armada Hoffler Properties, Inc."
"1081074",,,"Armada Oil, Inc."
"1537660",,,"Armored AutoGroup Inc."
"1428205","ARR","ARR","Armour Residential REIT, Inc."
"1532288",,,"Armstrong Energy, Inc."
"1195116",,,"Arno Therapeutics, Inc"
"1517302","APAM","APAM","Artisan Partners Asset Management Inc."
"1437106","ASCMA","ASCMA","Ascent Capital Group, Inc."
"1350102","ASTI","ASTI","Ascent Solar Technologies, Inc."
"1574085","AHP","AHP","Ashford Hospitality Prime, Inc."
"1440476",,,"Asia Green Agriculture Corp"
"1172318",,,"Asia Interactive Media Inc."
"1309132",,,"Aspect FuturesAccess LLC"
"1506546",,,"Aspect Software Group Holdings Ltd."
"1572552",,,"Asterias Biotherapeutics, Inc."
"1472093","AFCB","AFCB","Athens Bancshares Corp"
"1377053",,,"AtheroNova Inc."
"1574648","ATHL","ATHL","Athlon Energy Inc."
"1404296","ACFC","ACFC","Atlantic Coast Financial CORP"
"1464343","ATLC","ATLC","Atlanticus Holdings Corp"
"1294476",,,"Atlas America Public #14-2004 L.P."
"1336339",,,"Atlas America Public #14-2005 (A) L.P."
"1335236",,,"Atlas America Public #15-2005 (A) L.P."
"1357361",,,"Atlas America Public #15-2006 (B) L.P."
"1342514",,,"Atlas America Series 26-2005 L.P."
"1379763",,,"Atlas America Series 27-2006 L.P."
"1347218",,,"Atlas Energy, L.P."
"1539894","AFH","AFH","Atlas Financial Holdings, Inc."
"1532750",,,"Atlas Resource Partners, L.P."
"1374985",,,"Atlas Resources Public #16-2007 (A) L.P."
"1399542",,,"Atlas Resources Public #17-2007 (A) L.P."
"1399541",,,"Atlas Resources Public #17-2008 (B) L.P."
"1432987",,,"Atlas Resources Public #18-2008 (A) L.P."
"1432985",,,"Atlas Resources Public #18-2009 (B) L.P."
"1433833",,,"Atlas Resources Public #18-2009 (C) L.P."
"1487561",,,"Atlas Resources Series 28-2010 L.P."
"1323885","ATRC","ATRC","AtriCure, Inc."
"1434768",,,"Aurios Inc."
"1454189","ASPX","ASPX","Auspex Pharmaceuticals, Inc."
"8818","AVY","AVY","Avery Dennison Corp"
"1519120",,,"Aviv Healthcare Properties L.P."
"1028153","AXPW","AXPW","Axion Power International, Inc."
"805928","LECT","LECT,AXGN","AxoGen, Inc."
"1278027","BGF","BGF,BGS","B&G Foods, Inc."
"861361","BEAV","BEAV","B/E AEROSPACE INC"
"1123596","BABB","BABB","BAB, INC."
"9092","BMI","BMI","BADGER METER INC"
"808362","BHI","BHI","BAKER HUGHES INC"
"9326","BCPC","BCPC","BALCHEM CORP"
"9346","BWINB","BWINB,BWINA","BALDWIN & LYONS INC"
"1562738",,,"Apptigo International, Inc."
"9389","BLL","BLL","BALL CORP"
"946454","BTN","BTN","BALLANTYNE STRONG, INC."
"9466",,,"BALTIMORE GAS & ELECTRIC CO"
"1169770","BANC","BANC","BANC OF CALIFORNIA, INC."
"760498","BANF","BANF","BANCFIRST CORP /OK/"
"701853","BXS","BXS","BANCORPSOUTH INC"
"1123270","BKMU","BKMU","BANK MUTUAL CORP"
"70858","BAC","BAC","BANK OF AMERICA CORP /DE/"
"46195","BOH","BOH","BANK OF HAWAII CORP"
"934547","BKYF","BKYF","BANK OF KENTUCKY FINANCIAL CORP"
"9631","BNS","BNS","BANK OF NOVA SCOTIA /"
"1007273","BKSC","BKSC","BANK OF SOUTH CAROLINA CORP"
"1275101","BOTJ","BOTJ","BANK OF THE JAMES FINANCIAL GROUP INC"
"1038205","OZRK","OZRK","BANK OF THE OZARKS INC"
"946673","BANR","BANR","BANNER CORP"
"743367","BHB","BHB","BAR HARBOR BANKSHARES"
"9892","BCR","BCR","BARD C R INC /NJ/"
"9984","B","B","BARNES GROUP INC"
"902791","BBSI","BBSI","BARRETT BUSINESS SERVICES INC"
"1109189","BAS","BAS","BASIC ENERGY SERVICES INC"
"10329","BSET","BSET","BASSETT FURNITURE INDUSTRIES INC"
"1230355","BAXS","BAXS","BAXANO SURGICAL, INC."
"10456","BAX","BAX","BAXTER INTERNATIONAL INC"
"859222","BYBK","BYBK","BAY BANCORP, INC."
"1034594","BAYK","BAYK","BAY BANKS OF VIRGINIA INC"
"275119","BYLK","BYLK","BAYLAKE CORP"
"1089598",,,"BAYNON INTERNATIONAL CORP"
"92230","BBT","BBT","BB&T CORP"
"1128361","HOPE","HOPE","HOPE BANCORP INC"
"1409775",,,"BBVA COMPASS BANCSHARES, INC"
"921768","BBX","BBX","BBX CAPITAL CORP"
"1228454","BCBP","BCBP","BCB BANCORP INC"
"1003815",,,"BCTC IV ASSIGNOR CORP"
"1267426",,,"BCTC V ASSIGNOR CORP"
"789073","BEAM","BEAM","BEAM INC"
"1144503",,,"BEAR STEARNS DEPOSITOR INC TRUST CERTIFICATE SERIES 2001-2"
"1099160","BBGI","BBGI","BEASLEY BROADCAST GROUP INC"
"1384710","MORE","MORE","Monogram Residential Trust, Inc."
"729580","BELFB","BELFB,BELFA","BEL FUSE INC /NJ"
"913142","BDC","BDC","BELDEN INC."
"11199","BMS","BMS","BEMIS CO INC"
"863436","BHE","BHE","BENCHMARK ELECTRONICS INC"
"11544","WRB","WRB","BERKLEY W R CORP"
"1067983",,,"BERKSHIRE HATHAWAY INC"
"1108134","BHLB","BHLB","BERKSHIRE HILLS BANCORP INC"
"1178862",,,"BERKSHIRE INCOME REALTY, INC."
"778438","BRY","BRY","BERRY PETROLEUM CO"
"764478","BBY","BBY","BEST BUY CO INC"
"315858","BFCF","BFCF","BFC FINANCIAL CORP"
"1407038","BGMD","BGMD","BG Medicine, Inc."
"1094831","BGCP","BGCP,BGCA","BGC Partners, Inc."
"1156388","BGFV","BGFV","BIG 5 SPORTING GOODS CORP"
"1172139","BBG","BBG","BILL BARRETT CORP"
"1275477",,,"BIMINI CAPITAL MANAGEMENT, INC."
"1385228","BIND","BIND","BIND Therapeutics, Inc"
"1119897",,,"BINGHAM CANYON CORP"
"1318482",,,"BINGO.COM LTD."
"1019034","BKYI","BKYI","BIO KEY INTERNATIONAL INC"
"12208","BIO","BIO","BIO RAD LABORATORIES INC"
"1133818","BPTH","BPTH","BIO-PATH HOLDINGS INC"
"1044378","BIOC","BIOC","BIOCEPT INC"
"882796","BCRX","BCRX","BIOCRYST PHARMACEUTICALS INC"
"1103021","BDSI","BDSI","BIODELIVERY SCIENCES INTERNATIONAL INC"
"894560",,,"BIOETHICS LTD"
"875045","BIIB","BIIB","BIOGEN IDEC INC."
"1388319","BHRT","BHRT","BIOHEART, INC."
"811240","BIOL","BIOL","BIOLASE, INC"
"834365","BLFS","BLFS","BIOLIFE SOLUTIONS INC"
"1048477","BMRN","BMRN","BIOMARIN PHARMACEUTICAL INC"
"875622","BSTC","BSTC","BIOSPECIFICS TECHNOLOGIES CORP"
"876343","BTX","BTX","BIOTIME INC"
"948072","BDMS","BDMS","BIRNER DENTAL MANAGEMENT SERVICES INC"
"1013488","BJRI","BJRI","BJs RESTAURANTS INC"
"9235","BKFG","BKFG","BKF CAPITAL GROUP INC"
"1130464","BKH","BKH","BLACK HILLS CORP /SD/"
"12400",,,"BLACK HILLS POWER INC"
"1280058","BLKB","BLKB","BLACKBAUD INC"
"1411488","HAWK","HAWK","BLACKHAWK NETWORK HOLDINGS, INC"
"1061630","BXMT","BXMT","BLACKSTONE MORTGAGE TRUST, INC."
"1000683","BDR","BDR","BLONDER TONGUE LABORATORIES INC"
"1068875","INSP","INSP,BCOR","BLUCORA, INC."
"1399587",,,"BLUE CALYPSO, INC."
"793306","BDCO","BDCO","BLUE DOLPHIN ENERGY CO"
"1091171","NILE","NILE","BLUE NILE INC"
"12779","BLRGZ","BLRGZ","BLUE RIDGE REAL ESTATE CO"
"901842",,,"BLUE VALLEY BAN CORP"
"768216",,,"Logicquest Technology, Inc."
"1029581","MDSY","MDSY","Modsys International Ltd"
"1554594",,,"A.C. Simmonds & Sons"
"921503","BTH","BTH","BLYTH INC"
"1546819",,,"BMW Vehicle Lease Trust 2012-1"
"1566528",,,"BMW Vehicle Lease Trust 2013-1"
"1529534",,,"BMW Vehicle Owner Trust 2011-A"
"1590181",,,"BMW Vehicle Owner Trust 2013-A"
"1210227","BNCN","BNCN","BNC BANCORP"
"15511",,,"BNSF RAILWAY CO"
"1379246","BODY","BODY","BODY CENTRAL CORP"
"12927","BA","BA","BOEING CO"
"1169988","WIFI","WIFI","BOINGO WIRELESS INC"
"1328581","BCC","BCC","BOISE CASCADE Co"
"875357","BOKF","BOKF","BOK FINANCIAL CORP ET AL"
"1421871",,,"BONAMOUR, INC."
"908255","BWA","BWA","BORGWARNER INC"
"949870","SAM","SAM","BOSTON BEER CO INC"
"821127","BPFH","BPFH,BPFHP,BPFHW","BOSTON PRIVATE FINANCIAL HOLDINGS INC"
"1037540","BXP","BXP","BOSTON PROPERTIES INC"
"1043121",,,"BOSTON PROPERTIES LTD PARTNERSHIP"
"885725","BSX","BSX","BOSTON SCIENTIFIC CORP"
"1331301","BDBD","BDBD","BOULDER BRANDS, INC."
"719135","BVX","BVX","BOVIE MEDICAL CORP"
"906553","BYD","BYD","BOYD GAMING CORP"
"850033","BPT","BPT","BP PRUDHOE BAY ROYALTY TRUST"
"1023734",,,"BPZ RESOURCES, INC."
"1137883","BCLI","BCLI","BRAINSTORM CELL THERAPEUTICS INC."
"1060386",,,"BRANDYWINE OPERATING PARTNERSHIP, L.P."
"790816","BDN","BDN","BRANDYWINE REALTY TRUST"
"1011174","BRE","BRE","BRE PROPERTIES INC /MD/"
"1566445",,,"BRE Select Hotels Corp"
"1498067",,,"BREEDIT CORP."
"846617","BDGE","BDGE","BRIDGE BANCORP INC"
"794775",,,"BRIDGETON TACTICAL ADVISORS FUND, LP"
"1437578","BFAM","BFAM","BRIGHT HORIZONS FAMILY SOLUTIONS INC."
"1313275","BCOV","BCOV","BRIGHTCOVE INC"
"78890","BCO","BCO","BRINKS CO"
"14272","BMY","BMY","BRISTOL MYERS SQUIBB CO"
"1202500",,,"BRISTOL MYERS SQUIBB DEBENTURE BACKED SERIES 2002-18"
"740726",,,"BROADCAST INTERNATIONAL INC"
"1054374","BRCM","BRCM","BROADCOM CORP"
"748268",,,"EnergyTEK Corp."
"1086909","BSFT","BSFT","BROADSOFT, INC."
"1104358",,,"BROADVIEW NETWORKS HOLDINGS INC"
"920448","BVSN","BVSN","BROADVISION INC"
"1001171","BYFC","BYFC","BROADWAY FINANCIAL CORP \DE\"
"1049782","BRKL","BRKL","BROOKLINE BANCORP INC"
"79282","BRO","BRO","BROWN & BROWN INC"
"1109354","BRKR","BRKR","BRUKER CORP"
"14930","BC","BC","BRUNSWICK CORP"
"802681","BMTC","BMTC","BRYN MAWR BANK CORP"
"1522420","BLMT","BLMT","BSB Bancorp, Inc."
"1054721","BSQR","BSQR","BSQUARE CORP /WA"
"1375685",,,"BTHC X INC"
"840883","BTUI","BTUI","BTU INTERNATIONAL INC"
"805022","BPL","BPL","BUCKEYE PARTNERS, L.P."
"1062449","BWLD","BWLD","BUFFALO WILD WINGS INC"
"1113809","BBW","BBW","BUILD A BEAR WORKSHOP INC"
"934612","BNI","BNI","BURLINGTON NORTHERN SANTA FE, LLC"
"1486957","BWC","BWC,BWXT","Babcock & Wilcox Co"
